,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1.0,Richie Guerin,27.0,74,,2429.0,579,1379,0.42,,,,579,1379,0.42,0.42,457,591,0.773,,,505,468,,,,242,1615,1960
1,1,2.0,Willie Naulls,25.0,65,,2250.0,551,1286,0.428,,,,551,1286,0.428,0.428,286,342,0.836,,,921,138,,,,214,1388,1960
2,2,3.0,Kenny Sears,26.0,64,,2099.0,412,863,0.477,,,,412,863,0.477,0.477,363,418,0.868,,,876,127,,,,191,1187,1960
3,3,4.0,Charlie Tyra,24.0,74,,2033.0,406,952,0.426,,,,406,952,0.426,0.426,133,189,0.704,,,598,80,,,,258,945,1960
4,4,5.0,Jack George,31.0,69,,1604.0,250,650,0.385,,,,250,650,0.385,0.385,155,202,0.767,,,197,240,,,,148,655,1960
5,5,6.0,Mike Farmer,23.0,67,,1536.0,212,568,0.373,,,,212,568,0.373,0.373,70,83,0.843,,,385,57,,,,130,494,1960
6,6,7.0,Carl Braun,32.0,54,,1514.0,285,659,0.432,,,,285,659,0.432,0.432,129,154,0.838,,,168,270,,,,127,699,1960
7,7,8.0,Johnny Green,26.0,69,,1232.0,209,468,0.447,,,,209,468,0.447,0.447,63,155,0.406,,,539,52,,,,195,481,1960
8,8,9.0,Jim Palmer,26.0,54,,1082.0,175,419,0.418,,,,175,419,0.418,0.418,80,119,0.672,,,278,53,,,,159,430,1960
9,9,10.0,Dick Garmaker,27.0,26,,745.0,125,290,0.431,,,,125,290,0.431,0.431,86,100,0.86,,,124,73,,,,60,336,1960
10,10,11.0,Whitey Bell,27.0,31,,449.0,70,185,0.378,,,,70,185,0.378,0.378,28,43,0.651,,,87,55,,,,59,168,1960
11,11,12.0,Bob Anderegg,22.0,33,,373.0,55,143,0.385,,,,55,143,0.385,0.385,23,42,0.548,,,69,29,,,,32,133,1960
12,12,13.0,Ron Sobie,25.0,15,,221.0,36,104,0.346,,,,36,104,0.346,0.346,31,36,0.861,,,46,19,,,,28,103,1960
13,13,14.0,Ray Felix,29.0,16,,186.0,31,94,0.33,,,,31,94,0.33,0.33,19,33,0.576,,,82,2,,,,44,81,1960
14,14,15.0,Cal Ramsey,22.0,7,,160.0,32,77,0.416,,,,32,77,0.416,0.416,16,29,0.552,,,47,9,,,,21,80,1960
15,15,16.0,Brendan McCann,24.0,4,,29.0,1,10,0.1,,,,1,10,0.1,0.1,3,3,1.0,,,4,10,,,,2,5,1960
16,0,1.0,Richie Guerin,28.0,79,,3023.0,612,1545,0.396,,,,612,1545,0.396,0.396,496,626,0.792,,,628,503,,,,310,1720,1961
17,1,2.0,Willie Naulls,26.0,79,,2976.0,737,1723,0.428,,,,737,1723,0.428,0.428,372,456,0.816,,,1055,191,,,,268,1846,1961
18,2,3.0,Dick Garmaker,28.0,71,,2238.0,415,943,0.44,,,,415,943,0.44,0.44,275,358,0.768,,,277,220,,,,240,1105,1961
19,3,4.0,Johnny Green,27.0,78,,1784.0,326,758,0.43,,,,326,758,0.43,0.43,145,278,0.522,,,838,97,,,,194,797,1961
20,4,5.0,Charlie Tyra,25.0,59,,1404.0,199,549,0.362,,,,199,549,0.362,0.362,120,173,0.694,,,394,82,,,,164,518,1961
21,5,6.0,Kenny Sears,27.0,52,,1396.0,241,568,0.424,,,,241,568,0.424,0.424,268,325,0.825,,,293,102,,,,165,750,1961
22,6,7.0,Bob McNeill,22.0,75,,1387.0,166,427,0.389,,,,166,427,0.389,0.389,105,126,0.833,,,123,238,,,,148,437,1961
23,7,8.0,Dave Budd,22.0,61,,1075.0,156,361,0.432,,,,156,361,0.432,0.432,87,134,0.649,,,297,45,,,,171,399,1961
24,8,9.0,Darrall Imhoff,22.0,62,,994.0,122,310,0.394,,,,122,310,0.394,0.394,49,96,0.51,,,296,51,,,,143,293,1961
25,9,10.0,Phil Jordon,27.0,31,,924.0,158,422,0.374,,,,158,422,0.374,0.374,89,127,0.701,,,250,74,,,,123,405,1961
26,10,11.0,Jim Palmer,27.0,55,,688.0,125,310,0.403,,,,125,310,0.403,0.403,44,65,0.677,,,179,30,,,,128,294,1961
27,11,12.0,Phil Rollins,27.0,40,,659.0,90,241,0.373,,,,90,241,0.373,0.373,53,77,0.688,,,85,101,,,,94,233,1961
28,12,13.0,Jack George,32.0,16,,268.0,31,93,0.333,,,,31,93,0.333,0.333,20,30,0.667,,,32,39,,,,37,82,1961
29,13,14.0,Carl Braun,33.0,15,,218.0,37,79,0.468,,,,37,79,0.468,0.468,11,14,0.786,,,31,48,,,,29,85,1961
30,14,15.0,Whitey Bell,28.0,5,,45.0,7,18,0.389,,,,7,18,0.389,0.389,1,3,0.333,,,7,1,,,,7,15,1961
31,15,16.0,Mike Farmer,24.0,2,,6.0,0,1,0.0,,,,0,1,0.0,0.0,0,0,,,,2,0,,,,2,0,1961
32,0,1.0,Richie Guerin,29.0,78,,3348.0,839,1897,0.442,,,,839,1897,0.442,0.442,625,762,0.82,,,501,539,,,,299,2303,1962
33,1,2.0,Willie Naulls,27.0,75,,2978.0,747,1798,0.415,,,,747,1798,0.415,0.415,383,455,0.842,,,867,192,,,,260,1877,1962
34,2,3.0,Johnny Green,28.0,80,,2789.0,507,1164,0.436,,,,507,1164,0.436,0.436,261,434,0.601,,,1066,191,,,,265,1275,1962
35,3,4.0,Phil Jordon,28.0,76,,2195.0,403,1028,0.392,,,,403,1028,0.392,0.392,96,168,0.571,,,482,156,,,,258,902,1962
36,4,5.0,Al Butler,23.0,54,,1969.0,336,725,0.463,,,,336,725,0.463,0.463,124,176,0.705,,,324,201,,,,147,796,1962
37,5,6.0,Darrall Imhoff,23.0,76,,1481.0,186,482,0.386,,,,186,482,0.386,0.386,80,139,0.576,,,470,82,,,,230,452,1962
38,6,7.0,Dave Budd,23.0,79,,1370.0,188,431,0.436,,,,188,431,0.436,0.436,138,231,0.597,,,345,86,,,,162,514,1962
39,7,8.0,Whitey Martin,22.0,66,,1018.0,95,292,0.325,,,,95,292,0.325,0.325,37,55,0.673,,,158,115,,,,158,227,1962
40,8,9.0,Cleveland Buckner,23.0,62,,696.0,158,367,0.431,,,,158,367,0.431,0.431,83,133,0.624,,,236,39,,,,114,399,1962
41,9,10.0,Donnie Butcher,25.0,47,,479.0,48,155,0.31,,,,48,155,0.31,0.31,42,69,0.609,,,79,51,,,,63,138,1962
42,10,11.0,Sam Stith,24.0,32,,440.0,59,162,0.364,,,,59,162,0.364,0.364,23,38,0.605,,,51,60,,,,55,141,1962
43,11,12.0,George Blaney,22.0,36,,363.0,54,142,0.38,,,,54,142,0.38,0.38,9,17,0.529,,,36,45,,,,34,117,1962
44,12,13.0,Bill Smith,22.0,9,,83.0,8,33,0.242,,,,8,33,0.242,0.242,7,8,0.875,,,16,7,,,,6,23,1962
45,13,14.0,Ed Burton,22.0,8,,28.0,7,14,0.5,,,,7,14,0.5,0.5,1,4,0.25,,,5,1,,,,3,15,1962
46,14,15.0,Doug Kistler,23.0,5,,13.0,3,6,0.5,,,,3,6,0.5,0.5,2,4,0.5,,,1,0,,,,2,8,1962
47,0,1.0,Richie Guerin,30.0,79,,2712.0,596,1380,0.432,,,,596,1380,0.432,0.432,509,600,0.848,,,331,348,,,,228,1701,1963
48,1,2.0,Johnny Green,29.0,80,,2553.0,582,1261,0.462,,,,582,1261,0.462,0.462,280,439,0.638,,,964,152,,,,243,1444,1963
49,2,3.0,Gene Shue,31.0,78,,2288.0,354,894,0.396,,,,354,894,0.396,0.396,208,302,0.689,,,191,259,,,,171,916,1963
50,3,4.0,Tom Gola,30.0,52,,1848.0,252,548,0.46,,,,252,548,0.46,0.46,120,153,0.784,,,369,225,,,,202,624,1963
51,4,5.0,Dave Budd,24.0,78,,1725.0,294,596,0.493,,,,294,596,0.493,0.493,151,202,0.748,,,395,87,,,,204,739,1963
52,5,6.0,Gene Conley,32.0,70,,1544.0,254,651,0.39,,,,254,651,0.39,0.39,122,186,0.656,,,469,70,,,,263,630,1963
53,6,7.0,Al Butler,24.0,74,,1488.0,297,676,0.439,,,,297,676,0.439,0.439,144,187,0.77,,,170,156,,,,145,738,1963
54,7,8.0,Paul Hogue,22.0,50,,1340.0,152,419,0.363,,,,152,419,0.363,0.363,79,174,0.454,,,430,42,,,,220,383,1963
55,8,9.0,Donnie Butcher,26.0,68,,1193.0,172,424,0.406,,,,172,424,0.406,0.406,131,194,0.675,,,180,138,,,,164,475,1963
56,9,10.0,Bevo Nordmann,23.0,26,,729.0,120,239,0.502,,,,120,239,0.502,0.502,38,83,0.458,,,231,39,,,,107,278,1963
57,10,11.0,Willie Naulls,28.0,23,,676.0,155,375,0.413,,,,155,375,0.413,0.413,78,96,0.813,,,200,44,,,,42,388,1963
58,11,12.0,John Rudometkin,22.0,56,,572.0,108,307,0.352,,,,108,307,0.352,0.352,73,95,0.768,,,149,30,,,,58,289,1963
59,12,13.0,Kenny Sears,29.0,23,,359.0,48,92,0.522,,,,48,92,0.522,0.522,26,46,0.565,,,67,40,,,,29,122,1963
60,13,14.0,Tom Stith,24.0,25,,209.0,37,110,0.336,,,,37,110,0.336,0.336,3,10,0.3,,,39,18,,,,23,77,1963
61,14,15.0,Jack Foley,23.0,6,,37.0,7,25,0.28,,,,7,25,0.28,0.28,7,7,1.0,,,9,5,,,,5,21,1963
62,15,16.0,Cleveland Buckner,24.0,6,,27.0,5,10,0.5,,,,5,10,0.5,0.5,2,4,0.5,,,4,5,,,,6,12,1963
63,0,1.0,Len Chappell,23.0,78,,2489.0,531,1183,0.449,,,,531,1183,0.449,0.449,287,401,0.716,,,767,83,,,,212,1349,1964
64,1,2.0,Art Heyman,22.0,75,,2236.0,432,1003,0.431,,,,432,1003,0.431,0.431,289,422,0.685,,,298,256,,,,229,1153,1964
65,2,3.0,Tom Gola,31.0,74,,2156.0,258,602,0.429,,,,258,602,0.429,0.429,154,212,0.726,,,469,257,,,,278,670,1964
66,3,4.0,Johnny Green,30.0,80,,2134.0,482,1026,0.47,,,,482,1026,0.47,0.47,195,392,0.497,,,799,157,,,,246,1159,1964
67,4,5.0,Bill McGill,24.0,68,,1737.0,445,913,0.487,,,,445,913,0.487,0.487,195,271,0.72,,,398,121,,,,212,1085,1964
68,5,6.0,Bob Boozer,26.0,49,,1652.0,329,762,0.432,,,,329,762,0.432,0.432,198,257,0.77,,,418,63,,,,148,856,1964
69,6,7.0,Johnny Egan,25.0,42,,1488.0,229,502,0.456,,,,229,502,0.456,0.456,136,175,0.777,,,129,242,,,,104,594,1964
70,7,8.0,Al Butler,25.0,76,,1379.0,260,616,0.422,,,,260,616,0.422,0.422,138,187,0.738,,,168,157,,,,167,658,1964
71,8,9.0,Dave Budd,25.0,73,,1031.0,128,297,0.431,,,,128,297,0.431,0.431,84,115,0.73,,,276,57,,,,130,340,1964
72,9,10.0,Tom Hoover,23.0,59,,988.0,102,247,0.413,,,,102,247,0.413,0.413,81,132,0.614,,,331,36,,,,185,285,1964
73,10,11.0,John Rudometkin,23.0,52,,696.0,154,326,0.472,,,,154,326,0.472,0.472,87,116,0.75,,,164,26,,,,86,395,1964
74,11,12.0,Gene Conley,33.0,46,,551.0,74,189,0.392,,,,74,189,0.392,0.392,44,65,0.677,,,156,21,,,,124,192,1964
75,12,13.0,Donnie Butcher,27.0,26,,418.0,37,115,0.322,,,,37,115,0.322,0.322,42,66,0.636,,,67,66,,,,53,116,1964
76,13,14.0,Bevo Nordmann,24.0,7,,106.0,13,25,0.52,,,,13,25,0.52,0.52,8,14,0.571,,,25,1,,,,18,34,1964
77,14,15.0,Paul Hogue,23.0,6,,89.0,9,16,0.563,,,,9,16,0.563,0.563,1,5,0.2,,,15,5,,,,15,19,1964
78,15,16.0,Jerry Harkness,23.0,5,,59.0,13,30,0.433,,,,13,30,0.433,0.433,3,8,0.375,,,6,6,,,,4,29,1964
79,16,17.0,Bob Duffy,23.0,4,,50.0,5,19,0.263,,,,5,19,0.263,0.263,6,8,0.75,,,6,5,,,,0,16,1964
80,17,18.0,Richie Guerin,31.0,2,,26.0,11,16,0.688,,,,11,16,0.688,0.688,4,5,0.8,,,3,4,,,,5,26,1964
81,0,1.0,Willis Reed,22.0,80,,3042.0,629,1457,0.432,,,,629,1457,0.432,0.432,302,407,0.742,,,1175,133,,,,339,1560,1965
82,1,2.0,Jim Barnes,23.0,75,,2586.0,454,1070,0.424,,,,454,1070,0.424,0.424,251,379,0.662,,,729,93,,,,312,1159,1965
83,2,3.0,Howard Komives,23.0,80,,2378.0,381,1020,0.374,,,,381,1020,0.374,0.374,212,254,0.835,,,195,265,,,,246,974,1965
84,3,4.0,Bob Boozer,27.0,80,,2139.0,424,963,0.44,,,,424,963,0.44,0.44,288,375,0.768,,,604,108,,,,183,1136,1965
85,4,5.0,Tom Gola,32.0,77,,1727.0,204,455,0.448,,,,204,455,0.448,0.448,133,180,0.739,,,319,220,,,,269,541,1965
86,5,6.0,Johnny Green,31.0,78,,1720.0,346,737,0.469,,,,346,737,0.469,0.469,165,301,0.548,,,545,129,,,,194,857,1965
87,6,7.0,Johnny Egan,26.0,74,,1664.0,258,529,0.488,,,,258,529,0.488,0.488,162,199,0.814,,,143,252,,,,139,678,1965
88,7,8.0,Em Bryant,26.0,77,,1332.0,145,436,0.333,,,,145,436,0.333,0.333,87,133,0.654,,,167,167,,,,212,377,1965
89,8,9.0,Dave Budd,26.0,62,,1188.0,196,407,0.482,,,,196,407,0.482,0.482,121,170,0.712,,,310,62,,,,147,513,1965
90,9,10.0,Art Heyman,23.0,55,,663.0,114,267,0.427,,,,114,267,0.427,0.427,88,132,0.667,,,99,79,,,,96,316,1965
91,10,11.0,Len Chappell,24.0,43,,655.0,145,367,0.395,,,,145,367,0.395,0.395,68,100,0.68,,,140,15,,,,73,358,1965
92,11,12.0,Barry Kramer,22.0,19,,231.0,27,86,0.314,,,,27,86,0.314,0.314,30,40,0.75,,,41,15,,,,31,84,1965
93,12,13.0,Tom Hoover,24.0,24,,153.0,13,32,0.406,,,,13,32,0.406,0.406,8,14,0.571,,,58,12,,,,37,34,1965
94,13,14.0,John Rudometkin,24.0,1,,22.0,3,8,0.375,,,,3,8,0.375,0.375,0,0,,,,7,0,,,,5,6,1965
95,0,1.0,Walt Bellamy,26.0,72,,3084.0,639,1249,0.512,,,,639,1249,0.512,0.512,390,622,0.627,,,1152,217,,,,262,1668,1966
96,1,2.0,Howard Komives,24.0,80,,2612.0,436,1116,0.391,,,,436,1116,0.391,0.391,241,280,0.861,,,281,425,,,,278,1113,1966
97,2,3.0,Dick Barnett,29.0,75,,2589.0,631,1344,0.469,,,,631,1344,0.469,0.469,467,605,0.772,,,310,259,,,,235,1729,1966
98,3,4.0,Willis Reed,23.0,76,,2537.0,438,1009,0.434,,,,438,1009,0.434,0.434,302,399,0.757,,,883,91,,,,323,1178,1966
99,4,5.0,Dick Van Arsdale,22.0,79,,2289.0,359,838,0.428,,,,359,838,0.428,0.428,251,351,0.715,,,376,184,,,,235,969,1966
100,5,6.0,Dave Stallworth,24.0,80,,1893.0,373,820,0.455,,,,373,820,0.455,0.455,258,376,0.686,,,492,186,,,,237,1004,1966
101,6,7.0,Em Bryant,27.0,71,,1193.0,212,449,0.472,,,,212,449,0.472,0.472,74,101,0.733,,,170,216,,,,215,498,1966
102,7,8.0,Tom Gola,33.0,74,,1127.0,122,271,0.45,,,,122,271,0.45,0.45,82,105,0.781,,,289,191,,,,207,326,1966
103,8,9.0,Barry Clemens,22.0,70,,877.0,161,391,0.412,,,,161,391,0.412,0.412,54,78,0.692,,,183,67,,,,113,376,1966
104,9,10.0,Len Chappell,25.0,46,,545.0,100,238,0.42,,,,100,238,0.42,0.42,46,78,0.59,,,127,26,,,,64,246,1966
105,10,11.0,Jim Barnes,24.0,7,,263.0,40,90,0.444,,,,40,90,0.444,0.444,30,42,0.714,,,72,9,,,,33,110,1966
106,11,12.0,Johnny Green,32.0,7,,208.0,43,79,0.544,,,,43,79,0.544,0.544,15,31,0.484,,,74,11,,,,21,101,1966
107,12,13.0,Johnny Egan,27.0,7,,58.0,5,16,0.313,,,,5,16,0.313,0.313,7,10,0.7,,,2,14,,,,4,17,1966
108,0,1.0,Walt Bellamy,27.0,79,,3010.0,565,1084,0.521,,,,565,1084,0.521,0.521,369,580,0.636,,,1064,206,,,,275,1499,1967
109,1,2.0,Dick Van Arsdale,23.0,79,,2892.0,410,913,0.449,,,,410,913,0.449,0.449,371,509,0.729,,,555,247,,,,264,1191,1967
110,2,3.0,Willis Reed,24.0,78,,2824.0,635,1298,0.489,,,,635,1298,0.489,0.489,358,487,0.735,,,1136,126,,,,293,1628,1967
111,3,4.0,Howard Komives,25.0,65,,2282.0,402,995,0.404,,,,402,995,0.404,0.404,217,253,0.858,,,183,401,,,,213,1021,1967
112,4,5.0,Dick Barnett,30.0,67,,1969.0,454,949,0.478,,,,454,949,0.478,0.478,231,295,0.783,,,226,161,,,,185,1139,1967
113,5,6.0,Dave Stallworth,25.0,76,,1889.0,380,816,0.466,,,,380,816,0.466,0.466,229,320,0.716,,,472,144,,,,226,989,1967
114,6,7.0,Cazzie Russell,22.0,77,,1696.0,344,789,0.436,,,,344,789,0.436,0.436,179,228,0.785,,,251,187,,,,174,867,1967
115,7,8.0,Em Bryant,28.0,63,,1593.0,236,577,0.409,,,,236,577,0.409,0.409,74,114,0.649,,,273,218,,,,231,546,1967
116,8,9.0,Neil Johnson,23.0,51,,522.0,59,171,0.345,,,,59,171,0.345,0.345,57,86,0.663,,,167,38,,,,102,175,1967
117,9,10.0,Henry Akin,22.0,50,,453.0,83,230,0.361,,,,83,230,0.361,0.361,26,37,0.703,,,120,25,,,,82,192,1967
118,10,11.0,Freddie Crawford,25.0,19,,192.0,44,116,0.379,,,,44,116,0.379,0.379,24,38,0.632,,,48,12,,,,39,112,1967
119,11,12.0,Dave Deutsch,21.0,19,,93.0,6,36,0.167,,,,6,36,0.167,0.167,9,20,0.45,,,21,15,,,,17,21,1967
120,12,13.0,Wayne Molis,23.0,13,,75.0,19,51,0.373,,,,19,51,0.373,0.373,7,13,0.538,,,22,2,,,,9,45,1967
121,0,1.0,Willis Reed,25.0,81,,2879.0,659,1346,0.49,,,,659,1346,0.49,0.49,367,509,0.721,,,1073,159,,,,343,1685,1968
122,1,2.0,Walt Bellamy,28.0,82,,2695.0,511,944,0.541,,,,511,944,0.541,0.541,350,529,0.662,,,961,164,,,,259,1372,1968
123,2,3.0,Dick Barnett,31.0,81,,2488.0,559,1159,0.482,,,,559,1159,0.482,0.482,343,440,0.78,,,238,242,,,,222,1461,1968
124,3,4.0,Dick Van Arsdale,24.0,78,,2348.0,316,725,0.436,,,,316,725,0.436,0.436,227,339,0.67,,,424,230,,,,225,859,1968
125,4,5.0,Cazzie Russell,23.0,82,,2296.0,551,1192,0.462,,,,551,1192,0.462,0.462,282,349,0.808,,,374,195,,,,223,1384,1968
126,5,6.0,Howard Komives,26.0,78,,1660.0,233,631,0.369,,,,233,631,0.369,0.369,132,161,0.82,,,168,246,,,,170,598,1968
127,6,7.0,Walt Frazier,22.0,74,,1588.0,256,568,0.451,,,,256,568,0.451,0.451,154,235,0.655,,,313,305,,,,199,666,1968
128,7,8.0,Phil Jackson,22.0,75,,1093.0,182,455,0.4,,,,182,455,0.4,0.4,99,168,0.589,,,338,55,,,,212,463,1968
129,8,9.0,Em Bryant,29.0,77,,968.0,112,291,0.385,,,,112,291,0.385,0.385,59,86,0.686,,,133,134,,,,173,283,1968
130,9,10.0,Bill Bradley,24.0,45,,874.0,142,341,0.416,,,,142,341,0.416,0.416,76,104,0.731,,,113,137,,,,138,360,1968
131,10,11.0,Freddie Crawford,26.0,31,,426.0,65,177,0.367,,,,65,177,0.367,0.367,37,59,0.627,,,83,46,,,,67,167,1968
132,11,12.0,Neil Johnson,24.0,43,,286.0,44,106,0.415,,,,44,106,0.415,0.415,23,48,0.479,,,75,33,,,,63,111,1968
133,12,13.0,Nate Bowman,24.0,42,,272.0,52,134,0.388,,,,52,134,0.388,0.388,10,15,0.667,,,113,20,,,,69,114,1968
134,13,14.0,Jim Caldwell,25.0,2,,7.0,0,1,0.0,,,,0,1,0.0,0.0,0,0,,,,1,1,,,,1,0,1968
135,0,1.0,Willis Reed,26.0,82,,3108.0,704,1351,0.521,,,,704,1351,0.521,0.521,325,435,0.747,,,1191,190,,,,314,1733,1969
136,1,2.0,Dick Barnett,32.0,82,,2953.0,565,1220,0.463,,,,565,1220,0.463,0.463,312,403,0.774,,,251,291,,,,239,1442,1969
137,2,3.0,Walt Frazier,23.0,80,,2949.0,531,1052,0.505,,,,531,1052,0.505,0.505,341,457,0.746,,,499,635,,,,245,1403,1969
138,3,4.0,Bill Bradley,25.0,82,,2413.0,407,948,0.429,,,,407,948,0.429,0.429,206,253,0.814,,,350,302,,,,295,1020,1969
139,4,5.0,Dave DeBusschere,28.0,47,,1851.0,317,717,0.442,,,,317,717,0.442,0.442,135,198,0.682,,,535,128,,,,179,769,1969
140,5,6.0,Cazzie Russell,24.0,50,,1645.0,362,804,0.45,,,,362,804,0.45,0.45,191,240,0.796,,,209,115,,,,140,915,1969
141,6,7.0,Walt Bellamy,29.0,35,,1136.0,204,402,0.507,,,,204,402,0.507,0.507,125,202,0.619,,,385,77,,,,123,533,1969
142,7,8.0,Phil Jackson,23.0,47,,924.0,126,294,0.429,,,,126,294,0.429,0.429,80,119,0.672,,,246,43,,,,168,332,1969
143,8,9.0,Howard Komives,27.0,32,,836.0,107,309,0.346,,,,107,309,0.346,0.346,73,86,0.849,,,95,137,,,,96,287,1969
144,9,10.0,Nate Bowman,25.0,67,,607.0,82,226,0.363,,,,82,226,0.363,0.363,29,61,0.475,,,220,53,,,,142,193,1969
145,10,11.0,Don May,23.0,48,,560.0,81,223,0.363,,,,81,223,0.363,0.363,42,58,0.724,,,114,35,,,,64,204,1969
146,11,12.0,Mike Riordan,23.0,54,,397.0,49,144,0.34,,,,49,144,0.34,0.34,28,42,0.667,,,57,46,,,,93,126,1969
147,12,13.0,Bill Hosket,22.0,50,,351.0,53,123,0.431,,,,53,123,0.431,0.431,24,42,0.571,,,94,19,,,,77,130,1969
148,0,1.0,Willis Reed,27.0,81,,3089.0,702,1385,0.507,,,,702,1385,0.507,0.507,351,464,0.756,,,1126,161,,,,287,1755,1970
149,1,2.0,Walt Frazier,24.0,77,,3040.0,600,1158,0.518,,,,600,1158,0.518,0.518,409,547,0.748,,,465,629,,,,203,1609,1970
150,2,3.0,Dick Barnett,33.0,82,,2772.0,494,1039,0.475,,,,494,1039,0.475,0.475,232,325,0.714,,,221,298,,,,220,1220,1970
151,3,4.0,Dave DeBusschere,29.0,79,,2627.0,488,1082,0.451,,,,488,1082,0.451,0.451,176,256,0.688,,,790,194,,,,244,1152,1970
152,4,5.0,Bill Bradley,26.0,67,,2098.0,413,897,0.46,,,,413,897,0.46,0.46,145,176,0.824,,,239,268,,,,219,971,1970
153,5,6.0,Mike Riordan,24.0,81,,1677.0,255,549,0.464,,,,255,549,0.464,0.464,114,165,0.691,,,194,201,,,,192,624,1970
154,6,7.0,Cazzie Russell,25.0,78,,1563.0,385,773,0.498,,,,385,773,0.498,0.498,124,160,0.775,,,236,135,,,,137,894,1970
155,7,8.0,Dave Stallworth,28.0,82,,1375.0,239,557,0.429,,,,239,557,0.429,0.429,161,225,0.716,,,323,139,,,,194,639,1970
156,8,9.0,Nate Bowman,26.0,81,,744.0,98,235,0.417,,,,98,235,0.417,0.417,41,79,0.519,,,257,46,,,,189,237,1970
157,9,10.0,John Warren,22.0,44,,272.0,44,108,0.407,,,,44,108,0.407,0.407,24,35,0.686,,,40,30,,,,53,112,1970
158,10,11.0,Don May,24.0,37,,238.0,39,101,0.386,,,,39,101,0.386,0.386,18,19,0.947,,,52,17,,,,42,96,1970
159,11,12.0,Bill Hosket,23.0,36,,235.0,46,91,0.505,,,,46,91,0.505,0.505,26,33,0.788,,,63,17,,,,36,118,1970
160,0,1.0,Walt Frazier,25.0,80,,3455.0,651,1317,0.494,,,,651,1317,0.494,0.494,434,557,0.779,,,544,536,,,,240,1736,1971
161,1,2.0,Dave DeBusschere,30.0,81,,2891.0,523,1243,0.421,,,,523,1243,0.421,0.421,217,312,0.696,,,901,220,,,,237,1263,1971
162,2,3.0,Willis Reed,28.0,73,,2855.0,614,1330,0.462,,,,614,1330,0.462,0.462,299,381,0.785,,,1003,148,,,,228,1527,1971
163,3,4.0,Dick Barnett,34.0,82,,2843.0,540,1184,0.456,,,,540,1184,0.456,0.456,193,278,0.694,,,238,225,,,,232,1273,1971
164,4,5.0,Bill Bradley,27.0,78,,2300.0,413,912,0.453,,,,413,912,0.453,0.453,144,175,0.823,,,260,280,,,,245,970,1971
165,5,6.0,Dave Stallworth,29.0,81,,1565.0,295,685,0.431,,,,295,685,0.431,0.431,169,230,0.735,,,352,106,,,,175,759,1971
166,6,7.0,Mike Riordan,25.0,82,,1320.0,162,388,0.418,,,,162,388,0.418,0.418,67,108,0.62,,,169,121,,,,151,391,1971
167,7,8.0,Cazzie Russell,26.0,57,,1056.0,216,504,0.429,,,,216,504,0.429,0.429,92,119,0.773,,,192,77,,,,74,524,1971
168,8,9.0,Phil Jackson,25.0,71,,771.0,118,263,0.449,,,,118,263,0.449,0.449,95,133,0.714,,,238,31,,,,169,331,1971
169,9,10.0,Greg Fillmore,23.0,39,,271.0,45,102,0.441,,,,45,102,0.441,0.441,13,27,0.481,,,93,17,,,,80,103,1971
170,10,11.0,Mike Price,22.0,56,,251.0,30,81,0.37,,,,30,81,0.37,0.37,24,34,0.706,,,29,12,,,,57,84,1971
171,11,12.0,Eddie Mast,22.0,30,,164.0,25,66,0.379,,,,25,66,0.379,0.379,11,20,0.55,,,56,4,,,,25,61,1971
172,12,13.0,Milt Williams,25.0,5,,13.0,1,1,1.0,,,,1,1,1.0,1.0,2,3,0.667,,,0,2,,,,3,4,1971
173,0,1.0,Walt Frazier,26.0,77,,3126.0,669,1307,0.512,,,,669,1307,0.512,0.512,450,557,0.808,,,513,446,,,,185,1788,1972
174,1,2.0,Dave DeBusschere,31.0,80,,3072.0,520,1218,0.427,,,,520,1218,0.427,0.427,193,265,0.728,,,901,291,,,,219,1233,1972
175,2,3.0,Jerry Lucas,31.0,77,,2926.0,543,1060,0.512,,,,543,1060,0.512,0.512,197,249,0.791,,,1011,318,,,,218,1283,1972
176,3,4.0,Bill Bradley,28.0,78,,2780.0,504,1085,0.465,,,,504,1085,0.465,0.465,169,199,0.849,,,250,315,,,,254,1177,1972
177,4,5.0,Dick Barnett,35.0,79,,2256.0,401,918,0.437,,,,401,918,0.437,0.437,162,215,0.753,,,153,198,,,,229,964,1972
178,5,6.0,Phil Jackson,26.0,80,,1273.0,205,466,0.44,,,,205,466,0.44,0.44,167,228,0.732,,,326,72,,,,224,577,1972
179,6,7.0,Earl Monroe,27.0,60,,1234.0,261,598,0.436,,,,261,598,0.436,0.436,162,206,0.786,,,92,132,,,,130,684,1972
180,7,8.0,Dean Meminger,23.0,78,,1173.0,139,293,0.474,,,,139,293,0.474,0.474,79,140,0.564,,,185,103,,,,137,357,1972
181,8,9.0,Luther Rackley,25.0,62,,618.0,92,215,0.428,,,,92,215,0.428,0.428,49,84,0.583,,,187,18,,,,104,233,1972
182,9,10.0,Willis Reed,29.0,11,,363.0,60,137,0.438,,,,60,137,0.438,0.438,27,39,0.692,,,96,22,,,,30,147,1972
183,10,11.0,Eddie Mast,23.0,40,,270.0,39,112,0.348,,,,39,112,0.348,0.348,25,41,0.61,,,73,10,,,,39,103,1972
