,Unnamed: 0,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,0,1,John Johnson,23,67,,34.5,6.5,15.4,0.422,,,,6.5,15.4,0.422,0.422,3.6,4.4,0.805,,,6.8,4.8,,,,3.7,16.6,1971
1,1,2,John Warren,23,82,,31.8,4.6,11.0,0.423,,,,4.6,11.0,0.423,0.423,2.2,2.6,0.829,,,4.2,4.2,,,,3.6,11.5,1971
2,2,3,McCoy McLemore,28,58,,31.7,4.4,11.3,0.388,,,,4.4,11.3,0.388,0.388,2.9,3.8,0.773,,,8.0,3.0,,,,2.9,11.7,1971
3,3,4,Bingo Smith,24,77,,30.3,6.4,14.4,0.448,,,,6.4,14.4,0.448,0.448,2.3,3.0,0.761,,,5.6,3.4,,,,2.3,15.2,1971
4,4,5,Walt Wesley,26,82,,29.6,6.9,15.1,0.455,,,,6.9,15.1,0.455,0.455,4.0,5.8,0.687,,,8.7,1.0,,,,3.6,17.7,1971
5,5,6,Dave Sorenson,22,79,,24.6,4.5,10.1,0.445,,,,4.5,10.1,0.445,0.445,2.3,2.9,0.803,,,6.2,2.1,,,,2.3,11.3,1971
6,6,7,Bobby Lewis,25,79,,23.4,2.3,6.1,0.37,,,,2.3,6.1,0.37,0.37,1.4,1.9,0.717,,,2.6,3.1,,,,2.2,5.9,1971
7,7,8,Luther Rackley,24,74,,19.4,3.0,6.4,0.466,,,,3.0,6.4,0.466,0.466,1.6,2.6,0.637,,,5.3,0.9,,,,2.5,7.6,1971
8,8,9,Bobby Washington,23,47,,17.5,2.6,6.6,0.397,,,,2.6,6.6,0.397,0.397,2.2,3.0,0.743,,,2.2,4.0,,,,2.2,7.4,1971
9,9,10,Johnny Egan,32,26,,15.8,1.5,3.8,0.408,,,,1.5,3.8,0.408,0.408,1.0,1.1,0.893,,,1.2,2.2,,,,1.2,4.0,1971
10,10,11,Len Chappell,30,6,,14.3,2.5,6.3,0.395,,,,2.5,6.3,0.395,0.395,1.8,2.3,0.786,,,3.0,0.2,,,,1.5,6.8,1971
11,11,12,Larry Mikan,22,53,,10.1,1.2,3.5,0.333,,,,1.2,3.5,0.333,0.333,0.6,1.0,0.618,,,2.6,0.8,,,,1.1,3.0,1971
12,12,13,Joe Cooke,22,73,,9.9,1.8,4.7,0.393,,,,1.8,4.7,0.393,0.393,0.7,0.8,0.814,,,1.6,1.3,,,,1.8,4.3,1971
13,13,14,Cliff Anderson,26,23,,7.4,0.8,2.6,0.322,,,,0.8,2.6,0.322,0.322,1.8,2.6,0.683,,,1.6,0.7,,,,1.0,3.4,1971
14,14,15,Gary Suiter,26,30,,4.7,0.6,1.8,0.352,,,,0.6,1.8,0.352,0.352,0.1,0.3,0.444,,,1.4,0.1,,,,0.7,1.4,1971
15,15,16,Gary Freeman,22,11,,4.3,0.6,1.1,0.583,,,,0.6,1.1,0.583,0.583,0.1,0.2,0.5,,,0.7,0.4,,,,0.4,1.4,1971
16,0,1,John Johnson,24,82,,37.1,6.8,15.7,0.433,,,,6.8,15.7,0.433,0.433,3.4,4.3,0.785,,,7.7,5.1,,,,3.3,17.0,1972
17,1,2,Butch Beard,24,68,,35.8,5.8,12.5,0.464,,,,5.8,12.5,0.464,0.464,3.8,5.0,0.76,,,4.1,6.7,,,,3.1,15.4,1972
18,2,3,Austin Carr,23,43,,35.8,8.9,20.8,0.426,,,,8.9,20.8,0.426,0.426,3.5,4.6,0.76,,,3.5,3.4,,,,2.3,21.2,1972
19,3,4,Rick Roberson,24,63,,35.0,4.8,10.9,0.442,,,,4.8,10.9,0.442,0.442,3.4,5.8,0.587,,,12.7,1.7,,,,4.0,13.1,1972
20,4,5,Bingo Smith,25,82,,33.3,6.4,14.5,0.443,,,,6.4,14.5,0.443,0.443,2.2,2.7,0.795,,,6.1,3.0,,,,2.7,15.0,1972
21,5,6,Walt Wesley,27,82,,26.6,5.0,12.3,0.41,,,,5.0,12.3,0.41,0.41,2.4,3.5,0.674,,,8.7,0.9,,,,3.0,12.4,1972
22,6,7,Charlie Davis,22,61,,18.8,3.8,9.3,0.402,,,,3.8,9.3,0.402,0.402,2.3,2.8,0.84,,,1.5,2.0,,,,2.3,9.8,1972
23,7,8,Dave Sorenson,23,76,,15.3,2.8,6.3,0.448,,,,2.8,6.3,0.448,0.448,1.4,1.8,0.779,,,4.0,1.1,,,,1.6,7.0,1972
24,8,9,John Warren,24,68,,14.3,2.1,5.1,0.417,,,,2.1,5.1,0.417,0.417,0.7,0.9,0.845,,,2.0,1.3,,,,1.4,5.0,1972
25,9,10,Bobby Washington,24,69,,14.0,1.8,4.5,0.398,,,,1.8,4.5,0.398,0.398,1.5,1.9,0.813,,,1.9,3.2,,,,2.0,5.1,1972
26,10,11,Steve Patterson,23,65,,11.9,1.4,4.0,0.357,,,,1.4,4.0,0.357,0.357,0.4,0.7,0.5,,,3.5,0.8,,,,1.2,3.2,1972
27,11,12,Greg Howard,24,48,,8.9,1.0,2.7,0.382,,,,1.0,2.7,0.382,0.382,0.8,1.1,0.765,,,2.3,0.6,,,,1.0,2.9,1972
28,12,13,Luther Rackley,25,9,,7.2,1.2,2.8,0.44,,,,1.2,2.8,0.44,0.44,0.1,0.4,0.25,,,2.3,0.3,,,,0.3,2.6,1972
29,13,14,Jackie Ridgle,23,32,,3.3,0.6,1.4,0.432,,,,0.6,1.4,0.432,0.432,0.6,0.8,0.731,,,0.5,0.2,,,,0.5,1.8,1972
30,0,1,Lenny Wilkens,35,75,,39.6,7.6,17.0,0.449,,,,7.6,17.0,0.449,0.449,5.3,6.3,0.828,,,4.6,8.4,,,,2.9,20.5,1973
31,1,2,Austin Carr,24,82,,37.8,8.6,19.2,0.446,,,,8.6,19.2,0.446,0.446,3.4,4.2,0.822,,,4.5,3.4,,,,2.3,20.5,1973
32,2,3,John Johnson,25,82,,34.3,6.0,13.9,0.43,,,,6.0,13.9,0.43,0.43,2.4,3.3,0.734,,,6.7,3.8,,,,3.0,14.4,1973
33,3,4,Rick Roberson,25,62,,34.3,5.0,11.4,0.433,,,,5.0,11.4,0.433,0.433,2.7,4.7,0.576,,,11.2,2.2,,,,4.0,12.6,1973
34,4,5,Dwight Davis,23,81,,26.6,3.6,9.2,0.392,,,,3.6,9.2,0.392,0.392,2.2,2.7,0.793,,,7.0,1.5,,,,3.7,9.4,1973
35,5,6,Cornell Warner,24,68,,19.5,2.4,5.9,0.411,,,,2.4,5.9,0.411,0.411,0.9,1.3,0.659,,,7.5,1.0,,,,2.5,5.7,1973
36,6,7,Jim Cleamons,23,80,,17.4,2.4,5.3,0.454,,,,2.4,5.3,0.454,0.454,0.9,1.3,0.743,,,2.1,2.6,,,,1.4,5.7,1973
37,7,8,Barry Clemens,29,72,,15.5,2.9,5.6,0.516,,,,2.9,5.6,0.516,0.516,0.7,0.9,0.779,,,2.9,1.6,,,,1.9,6.5,1973
38,8,9,Bingo Smith,26,73,,14.6,3.7,8.3,0.444,,,,3.7,8.3,0.444,0.444,0.9,1.1,0.79,,,2.7,1.5,,,,1.1,8.2,1973
39,9,10,Charlie Davis,23,6,,14.3,3.3,6.8,0.488,,,,3.3,6.8,0.488,0.488,0.7,1.2,0.571,,,0.8,1.7,,,,3.3,7.3,1973
40,10,11,Dave Sorenson,24,10,,12.9,1.1,4.5,0.244,,,,1.1,4.5,0.244,0.244,0.5,1.1,0.455,,,3.7,0.5,,,,1.6,2.7,1973
41,11,12,Steve Patterson,24,62,,11.5,1.1,3.2,0.359,,,,1.1,3.2,0.359,0.359,0.5,1.0,0.523,,,3.7,0.8,,,,1.3,2.8,1973
42,12,13,Walt Wesley,28,12,,9.2,1.2,3.9,0.298,,,,1.2,3.9,0.298,0.298,0.7,1.0,0.667,,,3.2,0.6,,,,1.8,3.0,1973
43,13,14,Bob Rule,28,49,,9.0,1.2,3.2,0.382,,,,1.2,3.2,0.382,0.382,0.4,0.6,0.645,,,2.2,0.8,,,,1.3,2.9,1973
44,14,15,John Warren,25,40,,7.3,1.4,2.8,0.486,,,,1.4,2.8,0.486,0.486,0.5,0.5,0.947,,,1.1,0.9,,,,1.1,3.2,1973
45,0,1,Austin Carr,25,81,,38.3,9.2,20.8,0.445,,,,9.2,20.8,0.445,0.445,3.4,4.0,0.856,1.7,1.9,3.6,3.8,1.1,0.2,,2.3,21.9,1974
46,1,2,Lenny Wilkens,36,74,,33.6,6.2,13.4,0.465,,,,6.2,13.4,0.465,0.465,3.9,4.9,0.801,1.1,2.7,3.7,7.1,1.3,0.2,,2.2,16.4,1974
47,2,3,Dwight Davis,24,76,,32.6,4.9,11.3,0.436,,,,4.9,11.3,0.436,0.436,2.6,3.6,0.719,2.3,6.2,8.5,2.4,0.8,1.0,,3.8,12.5,1974
48,3,4,Bingo Smith,27,82,,31.9,6.5,14.4,0.455,,,,6.5,14.4,0.455,0.455,1.7,2.1,0.822,1.6,3.7,5.3,2.4,1.1,0.4,,3.0,14.8,1974
49,4,5,Steve Patterson,25,76,,25.1,3.4,7.9,0.437,,,,3.4,7.9,0.437,0.437,0.9,1.5,0.616,2.9,5.2,8.1,2.2,0.6,0.8,,2.5,7.8,1974
50,5,6,Jim Brewer,22,82,,22.7,2.6,6.7,0.383,,,,2.6,6.7,0.383,0.383,1.0,1.5,0.65,2.5,3.9,6.4,1.8,0.6,0.4,,2.3,6.1,1974
51,6,7,Bob Rule,29,26,,20.8,2.9,7.4,0.396,,,,2.9,7.4,0.396,0.396,1.3,1.8,0.739,1.7,2.3,4.0,1.8,0.5,0.4,,2.7,7.2,1974
52,7,8,Jim Cleamons,24,81,,20.3,2.9,6.7,0.433,,,,2.9,6.7,0.433,0.433,1.1,1.6,0.699,0.8,2.1,2.8,2.8,0.8,0.2,,1.9,7.0,1974
53,8,9,Barry Clemens,30,71,,12.9,2.3,4.9,0.471,,,,2.3,4.9,0.471,0.471,0.9,1.0,0.849,0.6,1.7,2.3,1.1,0.5,0.0,,1.9,5.5,1974
54,9,10,Luke Witte,23,57,,12.8,1.8,4.3,0.432,,,,1.8,4.3,0.432,0.432,0.8,1.1,0.742,1.4,2.6,4.0,0.7,0.1,0.4,,1.6,4.5,1974
55,10,11,John Warren,26,69,,11.4,1.9,4.2,0.454,,,,1.9,4.2,0.454,0.454,0.5,0.6,0.854,0.6,1.2,1.9,0.9,0.4,0.1,,1.7,4.3,1974
56,11,12,Fred Foster,27,58,,11.2,1.9,5.0,0.389,,,,1.9,5.0,0.389,0.389,0.9,1.1,0.844,0.7,1.1,1.9,1.1,0.3,0.1,,1.4,4.8,1974
57,12,13,Cornell Warner,25,5,,9.8,0.4,2.6,0.154,,,,0.4,2.6,0.154,0.154,0.8,0.8,1.0,1.0,2.4,3.4,0.8,0.0,0.4,,1.4,1.6,1974
58,0,1,Jim Cleamons,25,74,,36.4,5.0,10.4,0.48,,,,5.0,10.4,0.48,0.48,1.9,2.4,0.796,1.3,3.1,4.4,5.1,1.1,0.3,,2.6,11.9,1975
59,1,2,Jim Chones,25,72,,33.7,6.2,12.7,0.487,,,,6.2,12.7,0.487,0.487,2.1,3.1,0.679,2.2,7.2,9.4,1.8,0.7,1.7,,3.4,14.5,1975
60,2,3,Bingo Smith,28,82,,32.1,7.1,14.8,0.483,,,,7.1,14.8,0.483,0.483,1.6,2.0,0.825,1.3,3.6,5.0,2.8,1.0,0.3,,2.8,15.9,1975
61,3,4,Dick Snyder,30,82,,31.6,6.1,12.0,0.504,,,,6.1,12.0,0.504,0.504,2.0,2.4,0.846,0.5,2.5,2.9,3.4,0.8,0.5,,2.8,14.2,1975
62,4,5,Austin Carr,26,41,,26.4,6.1,13.1,0.468,,,,6.1,13.1,0.468,0.468,2.2,2.6,0.84,1.2,1.4,2.6,3.8,1.2,0.0,,1.4,14.5,1975
63,5,6,Dwight Davis,25,78,,25.2,3.8,8.5,0.443,,,,3.8,8.5,0.443,0.443,2.3,3.1,0.718,1.4,4.6,5.9,1.9,0.6,0.5,,3.3,9.8,1975
64,6,7,Jim Brewer,23,82,,24.3,3.5,7.8,0.455,,,,3.5,7.8,0.455,0.455,1.3,1.9,0.648,2.5,3.7,6.2,1.6,0.9,0.5,,1.8,8.4,1975
65,7,8,Steve Patterson,26,81,,15.7,2.0,4.8,0.416,,,,2.0,4.8,0.416,0.416,0.6,0.9,0.658,1.4,2.7,4.1,1.1,0.3,0.2,,1.6,4.6,1975
66,8,9,Fred Foster,28,73,,15.6,3.0,7.1,0.417,,,,3.0,7.1,0.417,0.417,0.9,1.3,0.711,0.8,0.7,1.5,1.4,0.3,0.0,,1.8,6.9,1975
67,9,10,Foots Walker,23,72,,14.9,1.5,3.8,0.404,,,,1.5,3.8,0.404,0.404,1.1,1.6,0.684,0.7,1.4,2.0,2.7,1.1,0.1,,1.8,4.2,1975
68,10,11,Campy Russell,23,68,,11.1,2.2,5.4,0.411,,,,2.2,5.4,0.411,0.411,1.8,2.4,0.752,0.6,1.6,2.2,0.7,0.3,0.0,,1.5,6.2,1975
69,11,12,Luke Witte,24,39,,6.9,0.8,2.5,0.344,,,,0.8,2.5,0.344,0.344,0.5,0.8,0.613,1.0,1.4,2.4,0.4,0.1,0.6,,1.1,2.2,1975
70,0,1,Jim Brewer,24,82,,35.5,4.9,10.7,0.458,,,,4.9,10.7,0.458,0.458,1.7,2.6,0.654,3.6,7.2,10.9,2.5,1.1,1.1,,2.6,11.5,1976
71,1,2,Jim Cleamons,26,82,,34.6,5.0,10.8,0.466,,,,5.0,10.8,0.466,0.466,2.1,2.7,0.798,1.5,2.8,4.3,5.2,1.5,0.2,,2.6,12.2,1976
72,2,3,Jim Chones,26,82,,33.4,6.9,15.3,0.448,,,,6.9,15.3,0.448,0.448,2.1,3.2,0.662,2.4,6.6,9.0,2.0,0.5,1.1,,2.9,15.8,1976
73,3,4,Bingo Smith,29,81,,28.9,6.1,13.8,0.442,,,,6.1,13.8,0.442,0.442,1.4,1.7,0.816,1.0,3.2,4.2,1.9,0.7,0.4,,2.9,13.6,1976
74,4,5,Dick Snyder,31,82,,27.7,5.4,10.7,0.501,,,,5.4,10.7,0.501,0.501,1.9,2.3,0.824,0.6,1.8,2.4,2.7,0.7,0.4,,2.6,12.6,1976
75,5,6,Campy Russell,24,82,,23.9,5.9,12.2,0.482,,,,5.9,12.2,0.482,0.482,3.2,4.2,0.773,1.6,2.6,4.2,1.3,0.8,0.1,,2.8,15.0,1976
76,6,7,Austin Carr,27,65,,19.7,4.2,9.6,0.442,,,,4.2,9.6,0.442,0.442,1.6,2.1,0.791,1.0,1.0,2.0,1.9,0.6,0.0,,1.4,10.1,1976
77,7,8,Nate Thurmond,34,65,,17.4,1.9,4.5,0.418,,,,1.9,4.5,0.418,0.418,0.8,1.6,0.514,1.6,3.7,5.3,1.0,0.3,1.3,,2.2,4.6,1976
78,8,9,Butch Beard,28,15,,17.0,2.3,6.0,0.389,,,,2.3,6.0,0.389,0.389,1.8,2.5,0.73,0.9,1.9,2.9,3.0,0.7,0.1,,2.4,6.5,1976
79,9,10,Foots Walker,24,81,,15.8,1.8,4.6,0.388,,,,1.8,4.6,0.388,0.388,1.0,1.3,0.778,0.7,1.6,2.2,3.6,1.2,0.1,,1.7,4.6,1976
80,10,11,Steve Patterson,27,14,,9.7,1.1,2.7,0.395,,,,1.1,2.7,0.395,0.395,0.6,0.7,0.8,0.5,1.5,2.0,0.6,0.2,0.4,,0.8,2.7,1976
81,11,12,John Lambert,23,54,,6.2,0.9,2.0,0.445,,,,0.9,2.0,0.445,0.445,0.5,0.7,0.676,0.7,1.2,1.9,0.3,0.1,0.2,,1.0,2.3,1976
82,12,13,Rowland Garrett,25,41,,5.3,1.2,3.1,0.402,,,,1.2,3.1,0.402,0.402,0.4,0.5,0.714,0.4,0.6,1.0,0.2,0.4,0.1,,0.9,2.9,1976
83,13,14,Luke Witte,25,22,,4.5,0.5,1.5,0.344,,,,0.5,1.5,0.344,0.344,0.4,0.7,0.6,0.4,1.3,1.7,0.2,0.0,0.0,,0.6,1.4,1976
84,14,15,Eric Fernsten,22,4,,2.3,0.0,0.5,0.0,,,,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,,0.3,0.0,1976
85,0,1,Jim Cleamons,27,60,,34.1,4.3,9.9,0.434,,,,4.3,9.9,0.434,0.434,1.9,2.5,0.757,1.7,2.9,4.6,5.1,1.1,0.4,,2.1,10.4,1977
86,1,2,Jim Brewer,25,81,,33.0,3.7,8.1,0.451,,,,3.7,8.1,0.451,0.451,1.2,2.2,0.545,3.4,6.0,9.4,2.4,1.2,1.0,,2.6,8.5,1977
87,2,3,Campy Russell,25,70,,30.1,6.2,14.3,0.434,,,,6.2,14.3,0.434,0.434,4.1,5.3,0.778,2.1,3.9,6.0,2.7,1.0,0.3,,2.8,16.5,1977
88,3,4,Austin Carr,28,82,,29.4,6.8,14.9,0.457,,,,6.8,14.9,0.457,0.457,2.6,3.3,0.795,1.5,1.5,2.9,2.7,0.7,0.1,,2.7,16.2,1977
89,4,5,Jim Chones,27,82,,29.0,5.5,11.9,0.463,,,,5.5,11.9,0.463,0.463,1.9,2.6,0.731,2.5,5.9,8.4,1.3,0.4,0.9,,3.1,12.9,1977
90,5,6,Bingo Smith,30,81,,26.4,6.3,14.2,0.446,,,,6.3,14.2,0.446,0.446,1.8,2.2,0.818,1.1,2.8,3.9,1.9,0.8,0.4,,2.6,14.5,1977
91,6,7,Dick Snyder,32,82,,20.5,3.9,8.5,0.456,,,,3.9,8.5,0.456,0.456,1.5,1.8,0.852,0.6,1.2,1.8,2.0,0.5,0.4,,2.2,9.3,1977
92,7,8,Nate Thurmond,35,49,,20.3,2.0,5.0,0.407,,,,2.0,5.0,0.407,0.407,1.4,2.2,0.642,2.5,5.2,7.6,1.7,0.3,1.7,,2.6,5.5,1977
93,8,9,Foots Walker,25,62,,19.6,2.5,5.6,0.45,,,,2.5,5.6,0.45,0.45,1.4,1.9,0.774,0.9,1.7,2.6,4.1,1.3,0.1,,2.0,6.5,1977
94,9,10,Elmore Smith,27,36,,18.8,3.6,7.1,0.504,,,,3.6,7.1,0.504,0.504,1.6,3.0,0.519,1.7,4.7,6.4,0.4,0.4,2.1,,2.7,8.7,1977
95,10,11,Gary Brokaw,23,39,,15.3,2.9,6.2,0.467,,,,2.9,6.2,0.467,0.467,1.5,2.1,0.707,0.3,1.2,1.5,3.0,0.4,0.3,,2.0,7.2,1977
96,11,12,John Lambert,24,63,,8.8,1.1,2.5,0.427,,,,1.1,2.5,0.427,0.427,0.4,0.6,0.694,1.0,1.5,2.4,0.5,0.3,0.3,,1.2,2.5,1977
97,12,13,Rowland Garrett,26,29,,7.4,1.4,3.2,0.43,,,,1.4,3.2,0.43,0.43,0.6,0.8,0.818,0.3,1.0,1.4,0.2,0.2,0.1,,1.0,3.4,1977
98,13,14,Mo Howard,22,9,,3.1,0.9,1.7,0.533,,,,0.9,1.7,0.533,0.533,0.6,0.7,0.833,0.2,0.3,0.6,0.6,0.1,0.2,,0.8,2.3,1977
99,14,15,Chuckie Williams,23,22,,3.0,0.6,2.1,0.298,,,,0.6,2.1,0.298,0.298,0.4,0.5,0.75,0.1,0.0,0.2,0.3,0.0,0.0,,0.3,1.7,1977
100,0,1,Jim Chones,28,82,,35.4,6.4,13.6,0.472,,,,6.4,13.6,0.472,0.472,2.2,3.0,0.72,2.7,7.6,10.3,1.6,0.6,0.7,2.2,2.9,15.0,1978
101,1,2,Campy Russell,26,72,,35.0,7.3,16.2,0.448,,,,7.3,16.2,0.448,0.448,4.9,6.5,0.751,2.1,4.2,6.4,3.9,1.2,0.2,2.9,2.7,19.4,1978
102,2,3,Walt Frazier,32,51,,32.6,6.6,14.0,0.471,,,,6.6,14.0,0.471,0.471,3.0,3.5,0.85,1.1,3.0,4.1,4.1,1.5,0.3,2.2,2.4,16.2,1978
103,3,4,Foots Walker,26,81,,30.8,3.5,7.9,0.448,,,,3.5,7.9,0.448,0.448,2.0,2.7,0.719,0.9,2.7,3.6,5.6,2.2,0.3,2.2,2.7,9.0,1978
104,4,5,Austin Carr,29,82,,26.7,5.0,11.5,0.438,,,,5.0,11.5,0.438,0.438,2.2,2.7,0.813,0.9,1.4,2.3,2.7,0.8,0.2,1.8,2.0,12.3,1978
105,5,6,Elmore Smith,28,81,,24.6,5.0,10.0,0.497,,,,5.0,10.0,0.497,0.497,2.5,3.8,0.663,2.2,6.2,8.4,0.7,0.6,2.2,1.7,3.0,12.5,1978
106,6,7,Jim Brewer,26,80,,22.5,2.2,4.9,0.449,,,,2.2,4.9,0.449,0.449,0.6,1.3,0.46,2.3,3.9,6.2,1.2,0.8,0.6,1.3,2.2,5.0,1978
107,7,8,Bingo Smith,31,82,,19.3,4.5,10.2,0.439,,,,4.5,10.2,0.439,0.439,1.3,1.6,0.8,0.8,1.7,2.5,1.1,0.5,0.3,1.0,1.9,10.3,1978
108,8,9,Terry Furlow,23,53,,15.6,3.6,8.4,0.433,,,,3.6,8.4,0.433,0.433,1.7,1.9,0.889,0.9,1.1,2.0,1.4,0.4,0.3,1.5,1.3,8.9,1978
109,9,10,John Lambert,25,76,,14.1,1.9,4.4,0.423,,,,1.9,4.4,0.423,0.423,0.4,0.6,0.563,1.6,2.6,4.3,0.5,0.4,0.7,0.8,2.2,4.1,1978
110,10,11,Dick Snyder,33,58,,11.4,1.9,4.3,0.444,,,,1.9,4.3,0.444,0.444,1.0,1.1,0.875,0.2,0.7,0.8,1.0,0.4,0.3,0.8,1.3,4.8,1978
111,11,12,Eddie Jordan,23,22,,7.8,0.9,2.5,0.339,,,,0.9,2.5,0.339,0.339,0.5,0.7,0.75,0.1,0.4,0.5,1.5,0.5,0.0,0.6,0.5,2.3,1978
112,0,1,Campy Russell,27,74,,38.6,8.1,17.1,0.476,,,,8.1,17.1,0.476,0.476,5.6,7.1,0.797,2.0,4.8,6.8,4.7,1.3,0.3,3.5,3.0,21.9,1979
113,1,2,Jim Chones,29,82,,34.8,5.8,13.1,0.44,,,,5.8,13.1,0.44,0.44,1.9,2.6,0.735,3.2,7.1,10.3,2.2,0.6,1.2,2.3,3.4,13.4,1979
114,2,3,Austin Carr,30,82,,33.1,6.7,14.2,0.475,,,,6.7,14.2,0.475,0.475,3.6,4.4,0.816,1.9,1.6,3.5,2.6,0.9,0.2,2.1,2.6,17.0,1979
115,3,4,Foots Walker,27,55,,31.9,3.8,8.1,0.464,,,,3.8,8.1,0.464,0.464,2.5,3.2,0.783,1.1,2.5,3.6,5.8,2.4,0.3,2.3,2.8,10.1,1979
116,4,5,Jim Brewer,27,55,,23.7,2.1,4.7,0.44,,,,2.1,4.7,0.44,0.44,0.4,0.9,0.479,2.3,4.5,6.7,1.3,0.9,1.0,1.4,2.5,4.6,1979
117,5,6,Butch Lee,22,33,,23.7,4.4,9.7,0.455,,,,4.4,9.7,0.455,0.455,2.6,3.4,0.77,0.7,1.4,2.0,3.8,0.9,0.0,1.8,1.8,11.5,1979
118,6,7,Walt Frazier,33,12,,23.3,4.5,10.2,0.443,,,,4.5,10.2,0.443,0.443,1.8,2.3,0.778,0.6,1.1,1.7,2.7,1.1,0.2,1.8,1.8,10.8,1979
119,7,8,Bingo Smith,32,72,,22.9,5.0,10.9,0.46,,,,5.0,10.9,0.46,0.46,1.2,1.5,0.783,1.1,1.8,2.9,1.7,0.6,0.1,1.0,2.6,11.2,1979
120,8,9,Terry Furlow,24,49,,22.7,5.6,11.6,0.483,,,,5.6,11.6,0.483,0.483,2.1,2.6,0.824,0.9,1.1,2.0,2.1,0.8,0.3,1.8,1.6,13.3,1979
121,9,10,Mike Mitchell,23,80,,19.7,4.5,8.8,0.513,,,,4.5,8.8,0.513,0.513,1.6,2.2,0.736,1.6,2.5,4.1,0.8,0.6,0.4,1.3,2.7,10.7,1979
122,10,11,Kenny Higgs,24,68,,15.4,1.9,4.1,0.455,,,,1.9,4.1,0.455,0.455,1.3,1.6,0.766,0.3,1.2,1.5,2.1,1.0,0.2,0.7,2.6,5.0,1979
123,11,12,John Lambert,26,70,,14.7,2.1,4.7,0.45,,,,2.1,4.7,0.45,0.45,0.5,0.8,0.636,1.7,2.5,4.1,0.6,0.4,0.4,0.9,2.3,4.7,1979
124,12,13,Elmore Smith,29,24,,13.8,2.9,5.4,0.531,,,,2.9,5.4,0.531,0.531,0.8,1.1,0.692,1.9,2.5,4.4,0.5,0.3,0.7,1.8,2.5,6.5,1979
125,13,14,Harry Davis,23,40,,9.9,1.7,3.8,0.431,,,,1.7,3.8,0.431,0.431,0.8,1.1,0.698,0.7,1.0,1.7,0.4,0.3,0.2,0.6,1.7,4.1,1979
126,0,1,Mike Mitchell,24,82,,34.2,9.5,18.1,0.523,0.0,0.1,0.0,9.5,18.0,0.525,0.523,3.3,4.2,0.787,2.5,4.7,7.2,1.1,0.9,0.9,2.1,3.2,22.2,1980
127,1,2,Dave Robisch,30,82,,32.6,6.0,11.5,0.52,0.0,0.0,0.0,6.0,11.4,0.522,0.52,3.4,4.0,0.842,2.7,5.3,8.0,2.3,0.6,0.6,1.7,2.6,15.3,1980
128,2,3,Randy Smith,31,82,,32.6,7.3,16.2,0.452,0.1,0.6,0.189,7.2,15.5,0.463,0.456,2.8,3.5,0.823,1.1,2.0,3.1,4.4,1.5,0.1,2.4,2.3,17.6,1980
129,3,4,Campy Russell,28,41,,32.5,6.9,15.4,0.451,0.0,0.2,0.111,6.9,15.1,0.456,0.452,4.3,5.8,0.745,1.9,3.6,5.5,4.2,1.8,0.5,3.6,2.8,18.2,1980
130,4,5,Foots Walker,28,76,,31.9,3.4,7.5,0.454,0.0,0.1,0.111,3.4,7.4,0.46,0.455,2.6,3.2,0.802,1.0,2.8,3.8,8.0,2.0,0.2,2.1,2.7,9.4,1980
131,5,6,Kenny Carr,24,74,,24.1,5.0,10.2,0.493,0.0,0.1,0.0,5.0,10.1,0.496,0.493,2.3,3.5,0.655,2.6,5.1,7.7,1.0,0.9,0.7,2.0,3.2,12.3,1980
132,6,7,Austin Carr,31,77,,20.7,5.1,10.9,0.465,0.0,0.1,0.333,5.0,10.8,0.466,0.466,1.6,2.2,0.738,1.1,1.1,2.1,1.9,0.5,0.0,1.4,1.6,11.8,1980
133,7,8,Don Ford,27,21,,20.0,3.1,6.9,0.451,0.0,0.1,0.5,3.0,6.8,0.451,0.455,1.0,1.2,0.88,1.0,3.1,4.1,1.4,0.5,0.3,1.0,2.1,7.3,1980
134,8,9,Bill Willoughby,22,78,,18.6,2.8,5.9,0.479,0.0,0.1,0.111,2.8,5.7,0.487,0.48,1.2,1.6,0.756,1.6,2.7,4.2,0.9,0.4,0.8,0.9,2.4,6.9,1980
135,9,10,John Lambert,27,74,,17.9,2.2,5.4,0.413,0.0,0.0,0.0,2.2,5.4,0.416,0.413,1.0,1.4,0.723,1.9,2.9,4.8,0.8,0.6,0.6,0.9,2.7,5.4,1980
136,10,11,Willie Smith,26,62,,17.0,2.0,5.1,0.384,0.3,1.1,0.239,1.7,3.9,0.426,0.411,0.6,0.8,0.769,0.9,1.0,2.0,4.2,1.2,0.0,1.5,1.8,4.8,1980
137,11,12,Bingo Smith,33,8,,16.9,4.1,9.0,0.458,0.1,0.6,0.2,4.0,8.4,0.478,0.465,0.9,1.0,0.875,0.3,1.5,1.8,0.9,0.4,0.3,1.1,2.6,9.3,1980
138,12,13,Walt Frazier,34,3,,9.0,1.3,3.7,0.364,0.0,0.3,0.0,1.3,3.3,0.4,0.364,0.7,0.7,1.0,0.3,0.7,1.0,2.7,0.7,0.3,1.3,0.7,3.3,1980
